Sort 1,Date,,Sheet 1,December Live List,Start Date,"December 1, 2025",,,
Week 5,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/29/2025,Finish,rack 3,4,3,3,"Rack 
30 Treads"
Week 1,Castleberry Stair 3 cast #5,12 LANDINGS ( new build) to be  used for cast 6,9/29/2025,Finish,g&f,12,1,3,"Grind and Fill:
12 Landings"
Week 1,Castleberry Stair 3 cast #5,12 LANDINGS ( new build) to be  used for cast 6,9/30/2025,Finish,gof 2,12,2,3,"Grind off Fill:
12 Landings"
Week 1,Castleberry Stair 3 cast #5,12 LANDINGS ( new build) to be  used for cast 6,10/2/2025,Seal,seal,5,1,3,"Seal:
12 Landings"
Week 1,Castleberry Stair 3 cast #5,12 LANDINGS ( new build) to be  used for cast 6,10/3/2025,Seal,seal 2,5,2,3,"Seal:
12 Landings"
Week 1,Castleberry Stair 3 cast #5,12 LANDINGS ( new build) to be  used for cast 6,10/4/2025,Seal,tu 3,4,3,3,"Touch up:
12 Landings"
Week 1,Castleberry Stair 3 cast #5,12 LANDINGS ( new build) to be  used for cast 6,10/5/2025,Finish,rack 3,6,3,3,"Rack 
12 Landings"
Week 2,Castleberry Stair 3 cast #5,12 LANDINGS ( new build) to be  used for cast 6,10/8/2025,Load,load,7,1,1,"Load:
12 Landings"
Week 1,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),9/29/2025,Form Out,rb,15,1,1,"Rebuild:
12 Landings
Trim FER Landings on CNC"
Week 1,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/1/2025,Cast,cast,35,1,1,"Cast:
12 Landings

Cast side ""B"" "
Week 1,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/2/2025,Demold,dm,15,1,1,"Demold:
12 Landings"
Week 1,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/3/2025,Finish,g&f,13,1,3,"Grind and Fill:
12 Landings"
Week 1,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/4/2025,Crating,build,6,1,1,"Build Crate for:
12 Landings"
Week 1,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/4/2025,Finish,gof,13,2,3,"Grind off Fill:
12 Landings"
Week 2,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/7/2025,Seal,seal,11,1,3,"Seal:
12 Landings"
Week 2,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/8/2025,Seal,seal 2,8,2,3,"Seal:
12 Landings"
Week 2,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/9/2025,Seal,tu,3,3,3,"Touch up:
12 Landings"
Week 2,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/10/2025,Finish,rack 3,4,3,3,"Rack 
12 Landings"
Week 2,Castleberry Stair 3 cast #6,12 Landings   ( re build  use forms from Cast #5),10/10/2025,Load,load,7,1,1,"Load:
12 Landings"
Week 3,Catherine Hershey Stair   Cast #1 ,shipment ,10/15/2025,Ship,ship,1,1,1,"Ship
27 Treads 4 Landings"
Week 1,CCA Dubois stair  ,22 treads 6 landings ,12/4/2025,Mill,mill,30,1,1,
Week 1,CCA Dubois stair  ,22 treads 6 landings ,12/5/2025,Form Out,fo,30,1,1,
Week 2,CCA Dubois stair  ,22 treads 6 landings ,12/9/2025,Cast,cast,35,1,1,
Week 2,CCA Dubois stair  ,22 treads 6 landings ,12/10/2025,Demold,dm,15,1,1,
Week 2,CCA Dubois stair  ,22 treads 6 landings ,12/11/2025,Finish,g&f,15,1,2,
Week 2,CCA Dubois stair  ,22 treads 6 landings ,12/12/2025,Finish,gof,15,2,2,
Week 2,CCA Dubois stair  ,22 treads 6 landings ,12/15/2025,Crating,build,5,1,2,
Week 2,CCA Dubois stair  ,22 treads 6 landings ,12/15/2025,Seal,seal,7,1,3,
Week 3,CCA Dubois stair  ,22 treads 6 landings ,12/16/2025,Seal,seal,7,2,3,
Week 3,CCA Dubois stair  ,22 treads 6 landings ,12/17/2025,Seal,tu,5,3,3,
Week 3,CCA Dubois stair  ,22 treads 6 landings ,12/19/2025,Special,azak,9,1,3,
Week 3,CCA Dubois stair  ,22 treads 6 landings ,12/22/2025,Special,strips,8,2,3,
Week 4,CCA Dubois stair  ,22 treads 6 landings ,12/23/2025,Special,tu,7,3,3,
Week 4,CCA Dubois stair  ,22 treads 6 landings ,12/29/2025,Crating,rack,5,2,2,
Week 1,CCA Williamsport  Stair ,22 treads 1 landing ,12/1/2025,Demold,dm,15,1,1,
Week 1,CCA Williamsport  Stair ,22 treads 1 landing ,12/2/2025,Finish,g&f,12,1,2,
Week 1,CCA Williamsport  Stair ,22 treads 1 landing ,12/3/2025,Finish,gof,12,2,2,
Week 1,CCA Williamsport  Stair ,22 treads 1 landing ,12/5/2025,Seal,seal,4,1,3,
Week 1,CCA Williamsport  Stair ,22 treads 1 landing ,12/8/2025,Crating,build,5,1,2,
Week 1,CCA Williamsport  Stair ,22 treads 1 landing ,12/8/2025,Seal,seal 2,4,2,3,
Week 2,CCA Williamsport  Stair ,22 treads 1 landing ,12/9/2025,Seal,tu 3,5,3,3,
Week 2,CCA Williamsport  Stair ,22 treads 1 landing ,12/11/2025,Special,azak,6,1,3,
Week 2,CCA Williamsport  Stair ,22 treads 1 landing ,12/12/2025,Special,strips,6,2,3,
Week 2,CCA Williamsport  Stair ,22 treads 1 landing ,12/15/2025,Special,tu,6,3,3,
Week 3,CCA Williamsport  Stair ,22 treads 1 landing ,12/18/2025,Crating,rack,6,2,2,
Week 4,CCA Williamsport  Stair ,22 treads 1 landing ,12/23/2025,Load,load,5,1,1,
Week 3,CCA Williamsport  Stair ,22 treads 1 landing ,11/24/2025,Mill,mill,20,1,1,Mill Parts 22 Treads 1 Landing
Week 4,CCA Williamsport  Stair ,22 treads 1 landing ,11/25/2025,Form Out,fo,18,1,1,Form Out 22 Treads 1 Landing
Week 4,CCA Williamsport  Stair ,22 treads 1 landing ,11/26/2025,Cast,cast,30,1,1,Cast 22 Treads 1 Landing
Week 1,DFCU panel mock up   #2 ,1 full size panel ,9/30/2025,Cast,cast,,1,1,"Cast:
1 Mockup Panel
Spray up w/ Direct Cast Backup"
Week 1,DFCU panel mock up   #2 ,1 full size panel ,10/1/2025,Demold,dm,,1,1,"move form and panel to de mold rack 
DO NOT remove concrete from form "
Week 1,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),9/29/2025,Mill,mill,24,1,2,"Finish Team to Do Epoxy
Cut  Foam Inserts
sand and joint compound 
epoxy 1st coat 
11 Panels
start to cut parts for bases
Use used melamine/flake for bases"
Week 1,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),9/30/2025,Mill,mill 2,24,2,2,"Finish Team to do Epoxy
epoxy 2nd coat by noon 
epoxy 3rd coat 
use thickening agent 
Cut parts for
11 Panels
Use used melamine/flake for bases"
Week 1,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/1/2025,Form Out,fo ,24,1,1,"Formout:
11 Panels
double side tape foam to base 6"" on center strips
screw though side rails into foam 
calk forms
Mark with Orange Tape the Solid Areas of Panel"
Week 1,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/2/2025,Cast,cast,35,1,1,"Cast 
11 Panels
Use Screed around the marked Solid Area
Cast side ""A"""
Week 1,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/3/2025,Demold,dm,16,1,1,"Demold
11 panels
Flip Concrete and Lift off Form
foam to stay with bse 
NOT in concrete "
Week 1,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/4/2025,Crating,build,5,1,1,"Build Crate for
11 Panels"
Week 1,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/4/2025,Finish,acid,6,1,4,"Sand and Fill
Light Acid Wash 
11 Panels"
Week 1,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/6/2025,Finish,acid 1,3,2,4,"Remove Fill
Re-Acid Wash 
11 Panels"
Week 2,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/7/2025,Finish,acid 2,3,3,4,"
Re-Acid Wash 
11 Panels
touch up as required "
Week 2,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/9/2025,Seal,seal ,6,1,2,"Seal
11 Panels"
Week 2,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/10/2025,Seal,tu 3,7,2,2,"Touchup
11 Panels"
Week 2,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/10/2025,Special,drill,15,1,1,"Drill
11 Panels"
Week 2,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/11/2025,Finish,rack,8,4,4,"touch up 
Rack 
11 Panels"
Week 2,DFCU Panels Cast #1  ,11 wall panels   New build. ( re use forms cast 2 ),10/11/2025,Load,load,4,1,1,"Load 
11 Panels"
Week 1,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/6/2025,Mill,M/R ,10,1,1,"MILL AND FORM OUT 

Clean and prep Forms
Check Foam for damage
Modify 2 Forms."
Week 2,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/10/2025,Cast,cast,25,1,1,Cast 9 Panels
Week 2,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/11/2025,Demold,dm,10,1,1,"Demold 9 Panels 
use suction cup "
Week 3,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/14/2025,Finish,acid,4,1,2,"Sand and Fill 
Light Acid Wash
9 Panels"
Week 3,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/15/2025,Finish,acid 2,4,2,2,"Remove Fill
Re-Acid Wash 
9 panels"
Week 3,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/16/2025,Seal,seal,3,1,2,"Seal
9 panels"
Week 3,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/16/2025,Special,drill,10,1,1,"Drill
9 Panels"
Week 3,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/17/2025,Crating,build,5,1,1,"Build Crate
9 Panels"
Week 3,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/17/2025,Seal,seal 2,3,2,2,"Seal
9 Panels"
Week 3,DFCU Panels Cast #2,7 wall panels   RB  ( use forms from cast #1),10/18/2025,Load,load,4,1,1,"Load 
9 Panels"
Week 2,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/13/2025,Form Out,rb,6,1,1,"Rebuild 
5 Panels"
Week 3,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/15/2025,Cast,cast,10,1,1,"Cast
5 P1 Panels"
Week 3,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/16/2025,Demold,dm,6,1,1,"Demold
5 P1 Panels"
Week 3,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/16/2025,Special,drill,5,1,1,"Drill
5 P1 Panels"
Week 3,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/17/2025,Crating,build,0,1,1,
Week 3,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/17/2025,Finish,acid,4,1,2,"day #1 
Acid Wash 
5 P1 Panels
fill as required "
Week 3,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/18/2025,Finish,acid 2 ,1,2,2,"day 2 of 2 
Acid Wash 
5 P1 Panels
fill as required "
Week 3,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/20/2025,Seal,seal,2,1,1,"Seal
5 P1 Panels"
Week 4,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/22/2025,Load,load,2,1,1,Load 5 P1 Panels
Week 5,DFCU Panels Cast #3,9 wall panels   RB  ( use forms from cast #1),10/29/2025,Ship,ship,1,1,1,Ship 5 Panels
Week 1,Hahn Woernle cast #1  ,15 panels ,12/1/2025,Mill,mill,15,1,1,
Week 1,Hahn Woernle cast #1  ,15 panels ,12/2/2025,Form Out,fo,20,1,1,
Week 2,Hahn Woernle cast #1  ,15 panels ,12/10/2025,Cast,cast,25,1,1,
Week 2,Hahn Woernle cast #1  ,15 panels ,12/11/2025,Demold,dm,10,1,1,
Week 2,Hahn Woernle cast #1  ,15 panels ,12/12/2025,Finish,g&f,12,1,2,
Week 2,Hahn Woernle cast #1  ,15 panels ,12/15/2025,Crating,build,7,1,2,
Week 2,Hahn Woernle cast #1  ,15 panels ,12/15/2025,Finish,gof,12,2,2,
Week 3,Hahn Woernle cast #1  ,15 panels ,12/17/2025,Seal,seal,6,1,3,
Week 3,Hahn Woernle cast #1  ,15 panels ,12/18/2025,Seal,seal 2,6,2,3,
Week 3,Hahn Woernle cast #1  ,15 panels ,12/19/2025,Seal,tu 3,3,3,3,
Week 3,Hahn Woernle cast #1  ,15 panels ,12/22/2025,Crating,rack,,2,2,
Week 4,Hahn Woernle cast #1  ,15 panels ,12/29/2025,Load,load,7,1,1,
Week 2,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/11/2025,Mill,mill,15,1,1,
Week 2,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/12/2025,Form Out,fo,15,1,1,
Week 3,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/16/2025,Cast,cast,25,1,1,
Week 3,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/17/2025,Demold,dm,10,1,1,
Week 3,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/18/2025,Finish,g&f,12,1,2,
Week 3,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/19/2025,Finish,gof,12,2,2,
Week 3,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/22/2025,Crating,build,7,1,2,
Week 3,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/22/2025,Seal,seal,6,1,3,
Week 4,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/23/2025,Seal,seal 2,6,2,3,
Week 4,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/24/2025,Seal,tu 3,3,3,3,
Week 4,Hahn Woernle cast #2,15 panels 5 sills 9 landings ,12/29/2025,Crating,rack,3,2,2,
Week 3,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),10/18/2025,Mill,mill,3,1,2,epoxy all CDX.. wait 20 min before removing
Week 4,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),10/21/2025,Mill,mill 2,12,2,2,"Mill Parts, CDX for planks ,
cut all other parts as per parts list
use meadow lane bases under container  
140 Planks."
Week 4,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),10/23/2025,Form Out,fo,15,1,2,"Form out
70 Planks"
Week 4,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),10/24/2025,Form Out,fo 2,15,2,2,"Form out
70 Planks 
form out 6 extra planks , epoxy CDX"
Week 4,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),10/27/2025,Cast,cast ,25,1,1,"Cast 
140 Planks
Keep Mel. Rails Clean to Avoid Swelling"
Week 5,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),10/28/2025,Demold,dm,12,1,1,"Demold
140 Planks
take care not to crack plank when de molding
move all forms under container to be re used"
Week 5,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),10/30/2025,Finish,wash,7,1,2,"Wash
140 Planks"
Week 1,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),11/3/2025,Finish,rack 2,3,2,2,"Rack 140 
Planks"
Week 1,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),11/3/2025,Seal,seal,8,1,1,"Stain as Req
140 Planks"
Week 1,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),11/5/2025,Load,load,8,1,1,"Load 
140 Planks"
Week 3,Herman FE Panels  cast #1  ,140 planks ( to be re used for cast #2),11/18/2025,Ship,ship,0,1,1,"Ship 
140 Planks"
Week 5,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),10/30/2025,Mill,mill,2,1,1,cut required rails for 140 planks..
Week 5,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),10/31/2025,Form Out,rb ,8,1,1,form out  140 Panels
Week 1,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),11/3/2025,Cast,cast,25,1,1,Cast 140 Panels
Week 1,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),11/4/2025,Demold,dm,12,1,1,Demold 140 Panels
Week 1,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),11/5/2025,Finish,wash,7,1,1,Wash 14- Panels
Week 1,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),11/6/2025,Seal,stain,5,1,2,Stain 140 Panels
Week 1,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),11/7/2025,Seal,seal 2,3,2,2,Seal 140 Panels
Week 2,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),11/12/2025,Load,load,10,1,1,Load 140 Panels
Week 3,Herman FE Panels  cast #2,140 planks ( use forms from cast #1 ),11/18/2025,Ship,ship,1,1,1,Ship 140 Panels
Week 1,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/5/2025,Mill,rb,12,1,1,
Week 2,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/12/2025,Cast,cast,30,1,1,
Week 2,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/15/2025,Crating,build,4,1,2,
Week 2,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/15/2025,Demold,dm,12,1,1,
Week 2,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/15/2025,Special,drill,8,1,1,
Week 3,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/16/2025,Finish,wash,8,1,1,
Week 3,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/18/2025,Seal,seal,8,1,2,
Week 3,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/19/2025,Seal,tu,3,2,2,
Week 3,Hornets FE cast #1 ,39 flats  panels   9 corners ,12/22/2025,Crating,rack,4,2,2,
Week 3,Hornets FE cast #2,39 flats  panels   9 corners ,12/16/2025,Mill,mill,12,1,1,
Week 3,Hornets FE cast #2,39 flats  panels   9 corners ,12/18/2025,Cast,cast,30,1,1,
Week 3,Hornets FE cast #2,39 flats  panels   9 corners ,12/19/2025,Demold,dm,12,1,1,
Week 3,Hornets FE cast #2,39 flats  panels   9 corners ,12/19/2025,Special,drill,8,1,1,
Week 3,Hornets FE cast #2,39 flats  panels   9 corners ,12/22/2025,Crating,build,4,1,2,
Week 3,Hornets FE cast #2,39 flats  panels   9 corners ,12/22/2025,Seal,seal,8,1,2,
Week 4,Hornets FE cast #2,39 flats  panels   9 corners ,12/23/2025,Seal,tu,3,2,2,
Week 4,Hornets FE cast #2,39 flats  panels   9 corners ,12/29/2025,Crating,rack,4,2,2,
Week 4,Humana Stairs ,18 treads ( 1 time use) ,10/24/2025,Mill,mill,15,1,1,"cut 1 to 1 Masonite template for all treads
18 Treads   cut all parts as per parts list .  1 time build"
Week 4,Humana Stairs ,18 treads ( 1 time use) ,10/25/2025,Form Out,fo,20,1,1,Form Out 18 Treads
Week 4,Humana Stairs ,18 treads ( 1 time use) ,10/27/2025,Crating,build,5,1,1,"Build Crate
18 Treads"
Week 5,Humana Stairs ,18 treads ( 1 time use) ,10/30/2025,Cast,cast,30,1,1,Cast 18 Treads
Week 5,Humana Stairs ,18 treads ( 1 time use) ,10/31/2025,Demold,dm,14,1,1,Demold 18 Treads
Week 5,Humana Stairs ,18 treads ( 1 time use) ,11/1/2025,Finish,g&f ,14,1,2,"Grind and Fill
18 Treads"
Week 1,Humana Stairs ,18 treads ( 1 time use) ,11/3/2025,Finish,gof 2,14,2,2,"Grind off Fill 
18 treads"
Week 1,Humana Stairs ,18 treads ( 1 time use) ,11/4/2025,Seal,epoxy,7,1,3,epoxy  18 Treads
Week 1,Humana Stairs ,18 treads ( 1 time use) ,11/5/2025,Seal,seal 2,7,2,3,Seal 18 Treads
Week 1,Humana Stairs ,18 treads ( 1 time use) ,11/6/2025,Seal,tu 3,6,3,3,Touch Up 18 Treads
Week 2,Humana Stairs ,18 treads ( 1 time use) ,11/11/2025,Special,azak,10,1,3,"Remove Azek
18 Treads"
Week 2,Humana Stairs ,18 treads ( 1 time use) ,11/12/2025,Special,strips 2,10,2,3,"Install Strips 
18 Treads"
Week 2,Humana Stairs ,18 treads ( 1 time use) ,11/13/2025,Special,tu 3,5,3,3,"Touch Up 
18 Treads"
Week 2,Humana Stairs ,18 treads ( 1 time use) ,11/14/2025,Load,load,10,1,1,"Load 
18 Treads"
Week 3,Humana Stairs ,18 treads ( 1 time use) ,11/21/2025,Ship,ship,1,1,1,"Ship
18 Treads"
Week 1,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/5/2025,Mill,mill,8,1,4,"Mill All Parts for
70 Forms
Cnc Cut Plastic Inserts"
Week 1,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/6/2025,Mill,mill,20,2,4,"cut bases
mill side rails"
Week 1,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/7/2025,Mill,fo 2,5,3,4,"complete milling of all rails
mill team to help form out team make tile"
Week 1,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/10/2025,Crating,build,3,1,2,"Build Crate 
70 Tiles"
Week 1,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/10/2025,Mill,milll,5,4,4,complete milling of rails
Week 2,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/11/2025,Form Out,fo 3,38,1,1,"form out  70 tile , mill team to help form out"
Week 2,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/12/2025,Cast,cast,35,1,1,Cast 70 Tiles
Week 2,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/13/2025,Demold,dm,15,1,1,"Demold 70 Tiles
Remove Plastic before Grinding"
Week 2,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/14/2025,Finish,g&f,15,1,2,"Grind and Fill
70 Tiles"
Week 2,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/17/2025,Finish,GOF 2,15,2,2,"Grind off Fill
70 Tiles"
Week 3,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/19/2025,Seal,Seal,7,1,3,Seal 70 Tiles
Week 3,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/20/2025,Seal,seal 2,8,2,3,Seal 70 Tiles
Week 3,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/21/2025,Seal,tu 3,7,3,3,"Touch up 
70 Tiles"
Week 3,Jane ST 17 th floor tille   cast #1  ,70 tile. ( new build) forms to be re used for all castings ,11/24/2025,Crating,rack,7,2,2,
Week 1,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/10/2025,Crating,build,3,1,2,Build Crate 70 Tiles
Week 2,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/13/2025,Form Out,rb,30,1,1,re build 70 tile in cast area
Week 2,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/14/2025,Cast,cast,35,1,1,Cast 70 Tiles
Week 2,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/17/2025,Crating,build,3,2,2,rack 70 tile
Week 2,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/17/2025,Demold,dm,15,1,1,"Demold 70 Tiles, leave forms in cast area to be re built"
Week 3,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/18/2025,Finish,g&f,15,1,2,Grind and Fill 70 Tiles
Week 3,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/19/2025,Finish,GOF 2,15,2,2,Grind off Fill 70 Tiles
Week 3,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/21/2025,Seal,Seal,7,1,3,Seal 70 Tiles day 1
Week 3,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/24/2025,Seal,seal 2,8,2,3,seal 70 tile   day 2
Week 4,Jane ST 17 th floor tille   cast #2,70 tile ( use forms from previous casting ),11/25/2025,Seal,tu 3,7,3,3,touch up 70 tile
Week 2,Jane ST 17 th floor tille   cast #3,70 tile ( use forms from previous casting ),11/17/2025,Crating,build,3,1,1,build crate 70 tile
Week 3,Jane ST 17 th floor tille   cast #3,70 tile ( use forms from previous casting ),11/18/2025,Form Out,rb,30,1,1,re built 70 tile in cast area
Week 3,Jane ST 17 th floor tille   cast #3,70 tile ( use forms from previous casting ),11/19/2025,Cast,cast,35,1,1,cast 70 tile
Week 3,Jane ST 17 th floor tille   cast #3,70 tile ( use forms from previous casting ),11/20/2025,Demold,dm,15,1,1,de mold 70 tile.  leave forms in cast area to be re built
Week 3,Jane ST 17 th floor tille   cast #3,70 tile ( use forms from previous casting ),11/21/2025,Finish,g&f,15,1,2,Grind and fill 70 tile
Week 3,Jane ST 17 th floor tille   cast #3,70 tile ( use forms from previous casting ),11/24/2025,Finish,GOF 2,15,2,2,grind off fill 70 tile
Week 4,Jane ST 17 th floor tille   cast #3,70 tile ( use forms from previous casting ),11/26/2025,Seal,Seal,7,1,1,seal 70 tile   day 1
Week 1,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/1/2025,Form Out,rb,25,1,1,
Week 1,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/2/2025,Cast,cast,30,1,1,
Week 1,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/3/2025,Demold,dm,15,1,1,
Week 1,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/4/2025,Finish,g&f,15,1,2,
Week 1,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/5/2025,Finish,gof 2,15,2,2,
Week 1,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/8/2025,Crating,build,3,1,2,
Week 1,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/8/2025,Seal,Seal,7,1,3,
Week 2,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/9/2025,Seal,seal 2,8,2,3,
Week 2,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/10/2025,Seal,tu 3,7,3,3,
Week 2,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/12/2025,Crating,rack,7,2,2,
Week 3,Jane ST 17 th floor tille   cast #4,70 tile ( use forms from previous casting ),12/17/2025,Load,load,4,1,1,
Week 1,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/4/2025,Form Out,rb,25,1,1,
Week 1,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/8/2025,Cast,cast,30,1,1,
Week 2,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/9/2025,Demold,dm,15,1,1,
Week 2,Jane ST 17 th floor tille   cast #5,70 tile ( use forms from previous casting ),12/10/2025,Finish,g&f,15,1,2,
